City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,bengkulu,-3.8004,102.2655,296.99,89,100,2.43,ID,1675459398
96,waipawa,-41.4122,175.5153,295.15,72,9,3.31,NZ,1675459675
97,amapa,1.0,-52.0,296.67,97,94,1.59,BR,1675459675
98,isangel,-19.55,169.2667,301.81,80,100,5.72,VU,1675459676
99,lebu,-37.6167,-73.65,292.65,66,0,10.35,CL,1675459520
100,hirara,24.8,125.2833,291.95,73,82,5.79,JP,1675459676
101,dingle,10.9995,122.6711,296.49,93,100,3.4,PH,1675459677
102,vaini,-21.2,-175.2,301.24,83,75,4.63,TO,1675459677
103,olga,43.7444,135.2892,259.01,75,100,2.21,RU,1675459678
104,hofn,64.2539,-15.2082,279.51,83,100,13.5,IS,1675459488
105,coihaique,-45.5752,-72.0662,300.49,40,38,3.86,CL,1675459523
106,nikolskoye,59.7035,30.7861,269.14,96,100,2.5,RU,1675459468
107,torbay,47.6666,-52.7314,275.58,96,100,13.89,CA,1675459679
108,esik,43.3552,77.4525,268.83,82,100,1.61,KZ,1675459679
109,muros,42.7762,-9.0603,279.87,91,0,2.32,ES,1675459680
110,puerto escondido,15.85,-97.0667,302.61,65,40,5.14,MX,1675459509
111,norman wells,65.282,-126.8329,239.17,75,75,1.54,CA,1675459680
112,paciran,-6.8767,112.3761,298.61,90,100,5.36,ID,1675459681
113,dawei,14.0833,98.2,295.58,81,29,1.44,MM,1675459681
114,bajil,15.0584,43.2851,296.77,82,39,2.58,YE,1675459682
115,miri,4.4148,114.0089,296.23,100,40,0.0,MY,1675459682
116,shache,38.4167,77.2406,266.58,91,38,2.05,CN,1675459629
117,shubarkuduk,49.1447,56.4872,262.26,78,100,5.29,KZ,1675459683
118,muli,2.9167,73.5667,299.76,69,100,6.13,MV,1675459683
119,lahij,13.1667,44.5833,293.52,85,85,2.03,YE,1675459684
120,saldanha,-33.0117,17.9442,291.18,87,0,6.07,ZA,1675459480
121,souillac,-20.5167,57.5167,298.36,94,40,2.57,MU,1675459685
122,kushima,31.4583,131.2333,280.57,80,97,3.55,JP,1675459685
123,fairbanks,64.8378,-147.7164,261.13,82,75,0.0,US,1675459685
124,marienburg,54.0359,19.0266,273.62,95,100,7.17,PL,1675459686
125,carutapera,-1.195,-46.02,299.0,83,16,4.06,BR,1675459686
126,kishtwar,33.3167,75.7667,276.82,75,67,2.85,IN,1675459687
127,umea,63.8284,20.2597,258.11,78,0,4.12,SE,1675459687
128,cabo san lucas,22.8909,-109.9124,298.76,38,0,3.6,MX,1675459688
129,avarua,-21.2078,-159.775,302.18,79,40,5.66,CK,1675459689
130,chiang klang,19.2938,100.8617,293.45,70,45,0.45,TH,1675459690
131,rio branco,-9.9747,-67.81,302.49,70,40,3.6,BR,1675459690
132,pemangkat,1.1667,108.9667,296.5,94,100,2.62,ID,1675459691
133,okhotsk,59.3833,143.3,247.57,84,31,5.2,RU,1675459624
134,denpasar,-8.65,115.2167,298.96,100,40,1.03,ID,1675459657
135,grao mogol,-16.5594,-42.8897,295.74,79,98,1.09,BR,1675459691
136,lianzhou,24.7811,112.3825,284.75,94,100,1.24,CN,1675459692
137,hami,42.8,93.45,269.55,47,93,1.36,CN,1675459692
138,punta arenas,-53.15,-70.9167,290.21,42,0,14.4,CL,1675459693
139,byron bay,-28.65,153.6167,299.66,75,66,4.18,AU,1675459125
140,clyde river,70.4692,-68.5914,243.28,63,75,6.17,CA,1675459693
141,puerto ayora,-0.7393,-90.3518,303.13,85,82,3.13,EC,1675459694
142,kodiak,57.79,-152.4072,274.88,69,75,3.09,US,1675459694
143,wynyard,-41.0,145.7167,286.52,86,100,4.56,AU,1675459695
144,saint-joseph,-21.3667,55.6167,298.36,85,82,5.22,RE,1675459695
145,mosetse,-20.75,26.65,295.87,72,99,2.98,BW,1675459696
146,east london,-33.0153,27.9116,296.42,80,89,4.38,ZA,1675459696
147,pangody,65.85,74.4859,259.1,93,97,3.07,RU,1675459696
148,kununurra,-15.7667,128.7333,297.14,94,86,0.0,AU,1675459697
